Organism,C.Size(Mb),GC%,CDS
Diplostephium huertasii,0.151684,37.4232,85
Diplostephium inesianum,0.152328,37.3431,85
Diplostephium jaramilloi,0.151879,37.4311,85
Diplostephium jelskii,0.152142,37.3763,85
Diplostephium jenesanum,0.150924,37.5162,84
Diplostephium juajibioyi,0.152282,37.3518,85
Diplostephium juniperinum,0.152454,37.3398,85
Diplostephium lacunosum,0.152247,37.3636,85
Diplostephium lechleri,0.152067,37.3743,85
Diplostephium meyenii,0.152537,37.3188,85
Diplostephium mutiscuanum,0.152282,37.3583,85
Diplostephium oblanceolatum,0.151895,37.412,85
Diplostephium oblongifolium,0.152282,37.3557,85
Diplostephium obtusum,0.152179,37.3698,85
Diplostephium ochraceum,0.151555,37.4524,85
Diplostephium oxapampanum,0.151637,37.4295,85
Diplostephium phylicoides,0.152172,37.3794,85
Diplostephium pulchrum,0.152236,37.346,85
Diplostephium revolutum,0.151823,37.3995,85
Diplostephium rhododendroides,0.152289,37.35,85
Diplostephium rhomboidale,0.152186,37.3635,85
Diplostephium romeroi,0.152275,37.3482,85
Diplostephium rosmarinifolium,0.152216,37.364,85
Diplostephium rupestre,0.152027,37.3447,85
Diplostephium sagasteguii,0.152214,37.3514,85
Diplostephium schultzii,0.152252,37.3683,85
Diplostephium serratifolium,0.15206,37.3885,85
Diplostephium spinulosum,0.152155,37.3849,85
Diplostephium tachirense,0.152197,37.3621,85
Diplostephium tenuifolium,0.151911,37.4252,85
Diplostephium venezuelense,0.152173,37.3746,85
Diplostephium violaceum,0.151387,37.4946,85
Dipterocladia arabiensis,0.173119,26.1999,201
Dipteronia dyeriana,0.157071,37.9682,87
Dipteronia sinensis,0.15708,37.782,88
Dipterosiphonia australica,0.169341,28.83,205
Dodonaea viscosa,0.159375,37.8604,88
Dorcoceras hygrometricum,0.153493,37.5945,85
Draba nemorosa JO21,0.153289,36.4716,84
Dracocephalum palmatum,0.15051,37.8267,87
Dregeochloa pumilla,0.136746,38.3982,83
Drimys granadensis,0.160604,38.7911,85
Drosera regia,0.13681,37.6296,72
Drosera rotundifolia,0.192912,36.497,90
Dryopteris decipiens,0.150987,42.6679,88
Dunalia brachyacantha,0.15673,37.7056,84
Dunalia obovata,0.156559,37.6925,82
Dunalia solanacea,0.156869,37.6505,82
Dunaliella salina CCAP 19/18,0.269044,32.0847,82
Durinskia baltica CS-38,0.11647,32.5526,129
Echinacanthus lofouensis,0.151333,38.7311,85
Echinochloa colona,0.139719,38.6383,87
Echinochloa crus-galli,0.139857,38.628,122
Echinochloa esculenta,0.139851,38.6325,83
Echinochloa frumentacea,0.139593,38.6366,87
Echinochloa oryzicola STB03,0.139891,38.6322,82
Echinochloa stagnina,0.139886,38.6343,82
Echinochloa ugandensis,0.139592,38.6369,82
Eclipta prostrata,0.151757,37.4849,87
Ectocarpus siliculosus,0.139954,30.6665,148
Edaphochlorella mirabilis,0.167972,31.463,77
Elaeagnus macrophylla,0.152224,37.1019,85
Elaeis guineensis,0.156973,37.4045,86
Eleusine indica,0.135151,38.1921,83
Eleutherococcus senticosus,0.156768,37.9503,87
Elleanthus sodiroi,0.161511,37.13,86
Elliptochloris bilobata,0.134677,45.7665,82
Elodea canadensis,0.1567,36.9962,85
Elytrophorus globularis,0.136403,38.4508,83
Emiliania huxleyi CCMP 373,0.105309,36.8088,119
Encephalartos lehmannii,0.165822,39.8958,87
Entolasia imbricata,0.140721,38.5301,82
Entransia fimbriata,0.206025,32.9907,119
Ephedra equisetina,0.109518,36.636,72
Ephedra foeminea,0.109584,36.6513,73
Epifagus virginiana,0.070028,35.9985,25
Epimedium acuminatum,0.159112,38.8117,85
Epimedium dolichostemon,0.157039,38.8012,83
Epimedium koreanum,0.157218,38.7233,82
Epimedium lishihchenii,0.157692,38.7775,83
Epimedium pseudowushanense,0.157168,38.7719,83
Epimedium sagittatum,0.158273,38.8512,84
Epipactis mairei,0.159019,37.2679,86
Epipactis veratrifolia,0.159719,37.3418,87
Epipremnum aureum,0.164831,35.776,86
Equisetum arvense,0.133309,33.3616,84
Equisetum hyemale,0.13176,33.7394,83
Eragrostis walteri,0.137056,38.3099,83
Eremochloa ciliaris,0.13897,38.3133,83
Eremochloa eriopoda,0.138995,38.3071,83
Eriachne armittii,0.134864,38.5863,83
Eriachne mucronata,0.135115,38.6056,83
Eriobotrya japonica,0.159137,36.7218,84
Eriochloa meyeriana,0.13989,38.4238,83
Eriochrysis cf. cayennensis 365-2,0.140426,38.4039,85
Eriochrysis laxa,0.140135,38.4272,85
Eriocnema fulva,0.155994,37.0194,85
Eriolarynx fasciculata,0.157025,37.6934,86
Erodium absinthoides,0.162618,43.2923,79
Erodium carvifolium,0.116935,38.9575,75
Erodium chrysanthum,0.168946,43.2043,82
Erycina pusilla,0.143164,36.651,73
Erythranthe lutea,0.15315,37.7153,84
Erythroxylum novogranatense,0.163937,35.8863,85
Ettlia pseudoalveolaris,0.145947,31.5594,89
Eucalyptus aromaphloia,0.160149,36.8607,85
Eucalyptus baxteri,0.160032,36.8233,85
Eucalyptus camaldulensis,0.160164,36.8653,85
Eucalyptus cladocalyx,0.160213,36.8634,85
Eucalyptus cloeziana,0.160015,36.8272,85
Eucalyptus curtisii,0.160038,36.975,85
Eucalyptus deglupta,0.160177,36.8705,85
Eucalyptus delegatensis,0.159724,36.873,85
Eucalyptus diversicolor,0.160214,36.8445,85
Eucalyptus diversifolia,0.159954,36.825,85
Eucalyptus elata,0.159899,36.8451,85
Eucalyptus erythrocorys,0.159742,36.8669,85
Eucalyptus globulus subsp. globulus,0.160286,36.8554,85
Eucalyptus grandis,0.160137,36.8859,74
Eucalyptus guilfoylei,0.16052,36.8527,85
Eucalyptus marginata,0.160076,36.8381,85
Eucalyptus melliodora,0.160386,36.8436,85
Eucalyptus microcorys,0.160225,36.8326,85
Eucalyptus nitens,0.160271,36.8594,85
Eucalyptus obliqua,0.159527,36.9035,85
Eucalyptus patens,0.160187,36.8182,85
Eucalyptus polybractea,0.160268,36.8526,85
Eucalyptus radiata,0.159529,36.9005,85
Eucalyptus regnans,0.160031,36.8235,85
Eucalyptus saligna,0.160015,36.8497,85
Eucalyptus salmonophloia,0.160413,36.8287,85
Eucalyptus sieberi,0.159985,36.8328,85
Eucalyptus spathulata,0.161071,36.8303,85
Eucalyptus torquata,0.160223,36.8636,85
Eucalyptus umbra,0.159576,36.842,85
Eucalyptus verrucata,0.160109,36.8018,85
Euglena archaeoplastidiata Michigan,0.097245,27.4626,67
Euglena gracilis Z,0.143171,26.1261,67
Euglena viridis NJ001,0.091616,26.4081,75
Euglenaformis proxima SAG 1224-11a,0.094185,26.8981,63
Euglenaria anabaena UTEX 373,0.088487,28.0052,67
Eulalia aurea,0.14022,38.4731,83
Eulalia contorta,0.140738,38.4217,83
Eulalia siamensis,0.140642,38.507,83
Eulaliopsis binata,0.141091,38.3674,83
Eunotia naegelii utex FD354,0.152906,28.7438,160
Euonymus japonicus,0.157637,37.2647,85
Euonymus schensianus,0.157702,37.191,85
Euphorbia esula,0.160512,35.5774,85
Euptelea pleiosperma,0.161834,38.6285,85
Eutrema botschantzevii,0.153279,36.3474,87
Eutrema halophilum,0.153311,36.3405,87
Eutrema heterophyllum,0.153876,36.3793,87
Eutrema salsugineum,0.153407,36.336,87
Eutrema yunnanense,0.153948,36.4071,87
Exellodendron barbatum,0.162324,36.2232,83
Exostigma notobellidiastrum,0.151699,37.3285,85
Fagopyrum esculentum subsp. ancestrale,0.159599,37.9833,84
Fagopyrum tataricum Daegwan3-3,0.159272,37.8755,83
Faidherbia albida,0.175646,35.3489,90
Fargesia denudata,0.13373,39.6852,81
Fargesia nitida,0.139535,38.8956,83
Fargesia spathacea,0.139767,38.8797,83
Fargesia yunnanensis,0.139609,38.8965,83
Fatsia japonica,0.155613,37.9126,87
Festuca arundinacea,0.136048,38.3923,80
Ficus carica,0.160602,35.8744,82
Ficus racemosa,0.159473,35.9384,84
Ficus religiosa,0.160627,35.8694,85
Fistulifera solaris JPCC DA0580,0.134918,32.1499,135
Floscaldasia hypsophila,0.1522,37.3167,85
Floydiella terrestris,0.521168,34.5282,74
Foeniculum vulgare,0.153628,37.6487,85
Fragaria chiloensis,0.155603,37.2236,85
Fragaria nipponica,0.148592,37.6151,84
Fragaria orientalis,0.147835,37.6007,84
Fragaria pentaphylla,0.15564,37.2507,85
Fragaria vesca subsp. bracteata,0.129788,36.1451,77
Fragaria vesca subsp. vesca,0.155691,37.2128,85
Fragaria virginiana,0.155621,37.2257,85
Fragaria x ananassa,0.155549,37.2346,85
Fritillaria cirrhosa,0.151991,36.9482,84
Fritillaria hupehensis,0.152145,36.97,82
Fritillaria taipaiensis,0.151693,36.9668,84
Fritillaria thunbergii,0.152155,36.9544,85
Fritillaria ussuriensis,0.151524,36.9545,84
Fucus vesiculosus,0.124986,28.9448,139
Fusochloris perforata,0.148459,35.1336,75
Galinsoga quadriradiata,0.151917,37.6554,87
Gaoligongshania megalothyrsa,0.140064,38.9115,83
Garnotia tenella,0.139629,38.3896,81
Garnotia thailandica,0.139668,38.381,82
Gastrochilus fuscopunctatus,0.146183,36.784,74
Gastrochilus japonicus,0.147697,36.845,74
Gaulettia elata,0.162303,36.2877,83
Gelidocalamus tessellatus,0.139712,38.8857,83
Geminella minor,0.129187,27.8828,81
Genlisea margaretae,0.141255,38.3427,56
Gentiana crassicaulis,0.148776,37.7205,85
Gentiana macrophylla,0.149916,37.6651,78
Gentiana straminea,0.148991,37.6949,85
Gentiana tibetica,0.148765,37.7132,85
Germainia capitata,0.139817,38.4925,83
Ginkgo biloba,0.156988,39.5616,84
Glehnia littoralis,0.147477,37.5103,85
Gloeotilopsis sterilis,0.132626,29.4686,81
Gloriosa superba,0.157924,37.5959,84
Glycine canescens,0.152518,35.3283,82
Glycine cyrtoloba,0.152381,35.3102,81
Glycine dolichocarpa,0.152804,35.3126,82
Glycine falcata,0.153023,35.3274,82
Glycine gracilis,0.152218,35.373,83
Glycine max,0.152218,35.373,83
Glycine soja,0.152217,35.3758,83
Glycine stenophita,0.152618,35.3163,82
Glycine syndetika,0.152783,35.3246,82
Glycine tomentella,0.152728,35.3262,82
Glycosmis mauritiana,0.160131,38.4854,85
Glycosmis pentaphylla,0.159844,38.3868,85
Glycyrrhiza glabra,0.127943,34.2379,76
Glycyrrhiza lepidota,0.127939,34.2421,76
Glyptostrobus pensilis,0.132239,35.3043,83
Gnetum montanum,0.115019,38.1563,65
Gnetum parvifolium,0.114914,38.1833,66
Gnetum ula,0.113249,38.4533,66
Gonium pectorale,0.222582,29.842,68
Goodyera fumata,0.155643,37.275,87
Goodyera procera,0.15324,37.6357,80
Goodyera schlechtendaliana,0.154348,37.1576,81
Goodyera velutina,0.152692,36.9057,79
Gossypium anomalum,0.159507,37.3256,86
Gossypium arboreum,0.16023,37.2296,83
Gossypium areysianum,0.159572,37.3687,83
Gossypium aridum,0.160257,37.2645,84
Gossypium armourianum,0.160068,37.2904,84
Gossypium australe,0.159578,37.1561,84
Gossypium barbadense,0.160317,37.2294,84
Gossypium bickii,0.159422,37.1969,87
Gossypium capitis-viridis,0.159467,37.3206,83
Gossypium darwinii,0.160378,37.2339,83
Gossypium davidsonii,0.160072,37.3101,84
Gossypium gossypioides,0.159959,37.3121,83
Gossypium harknessii,0.160129,37.2968,84
Gossypium herbaceum,0.16014,37.308,86
Gossypium herbaceum subsp. africanum,0.160315,37.218,83
Gossypium hirsutum,0.160301,37.2449,83
Gossypium incanum,0.159205,37.392,83
Gossypium klotzschianum,0.160097,37.3036,84
Gossypium longicalyx,0.160241,37.242,86
Gossypium mustelinum,0.160313,37.2209,83
Gossypium nelsonii,0.162316,36.8011,84
Gossypium populifolium,0.159444,37.1961,84
Gossypium raimondii,0.160161,37.3075,83
Gossypium raimondii,0.160161,37.3075,83
Gossypium robinsonii,0.159849,37.1601,83
Gossypium somalense,0.159539,37.3652,83
Gossypium stocksii,0.159039,37.4128,86
Gossypium sturtianum,0.159627,37.1334,86
Gossypium thurberi,0.160264,37.218,85
Gossypium tomentosum,0.160433,37.2043,83
Gossypium trilobum,0.160109,37.2902,84
Gossypium turneri,0.159927,37.2614,83
Gracilaria salicornia,0.179757,28.7967,202
Gracilaria tenuistipitata var. liui,0.183883,29.1522,203
Gracilariopsis lemaneiformis,0.182505,27.3795,203
Graffenrieda moritziana,0.155733,36.9896,84
Grangeria borbonica,0.162783,36.115,83
Gredgaria maugeana,0.167948,27.6205,202
Guadua angustifolia,0.135331,38.7324,85
Guadua chacoensis,0.135403,38.7584,85
Guillardia theta,0.121524,32.9713,147
Guizotia abyssinica,0.151762,37.6227,85
Gymnaconitum gymnandrum,0.157327,38.0799,83
Gymnospermium microrrhynchum,0.160533,37.7156,84
Gynochthodes nanlingensis,0.154086,38.5246,90
Gynochthodes officinalis,0.153398,38.0533,91
Gynostemma cardiospermum,0.159042,36.9223,87
Gynostemma caulopterum,0.157937,36.997,87
Gynostemma laxiflorum,0.158273,36.9659,87
Gynostemma pentagynum,0.157791,36.9539,87
Gynostemma pentaphyllum,0.159208,36.8914,79
Habenaria pantlingiana,0.153951,36.5948,87
Habenaria radiata,0.155353,36.5632,86
Haberlea rhodopensis,0.153099,37.754,86
Hafniomonas laevis,0.263327,37.6661,82
Haloxylon ammodendron,0.15157,36.5811,85
Haloxylon persicum,0.151586,36.5839,85
Hanabusaya asiatica,0.167287,38.7639,82
Hansenia forbesii,0.159287,37.6773,85
Hansenia forrestii,0.159505,37.6515,85
Hansenia oviformis,0.157292,37.897,85
Hansenia weberbaueriana,0.158625,37.6807,85
Haplostachys haplostachya HI0333,0.15013,38.5093,88
Helianthus annuus,0.151104,37.6198,85
Helianthus argophyllus,0.151069,37.6259,82
Helianthus debilis,0.151117,37.6106,85
Heloniopsis tubiflora,0.158229,37.4963,87
Helwingia himalaica,0.158362,37.6921,92
Hemisorghum mekongense,0.140765,38.4904,83
Henriettea barkeri,0.156527,36.8895,85
Herposiphonia versicolor,0.166895,28.2243,203
Hesperaloe campanulata,0.157446,37.7501,84
Hesperaloe parviflora,0.157393,37.7533,84
Hesperelaea palmeri,0.15582,37.809,85
Hesperis matronalis,0.153907,36.4161,86
Hesperis sylvestris,0.154415,36.3779,85
Hesperocallis undulata,0.157143,37.6733,83
Hesperoyucca whipplei,0.157832,37.7883,86
Heteropogon contortus,0.134982,38.4222,83
Heteropogon triticeus,0.14012,38.5013,83
Heterosigma akashiwo NIES 293,0.15937,30.4442,156
Heterothalamus alienus,0.152252,37.3565,85
Hevea brasiliensis,0.161191,35.7439,84
Hibiscus syriacus,0.161019,36.8298,79
Hildaea pallens,0.139145,38.6582,82
Hinterhubera ericoides,0.150711,37.3277,85
Hippophae rhamnoides,0.156132,36.6613,86
Hirtella macrosepala,0.16292,36.2362,83
Hirtella physophora,0.162955,36.2474,83
Hirtella racemosa,0.162891,36.2347,83
Hirtella suffulta,0.162654,36.2672,83
Hirtella zanzibarica,0.162341,36.1086,83
Homalosorus pycnocarpos,0.152159,43.2364,88
Homolepis aturensis,0.138757,38.6647,82
Hordeum vulgare subsp. vulgare,0.136462,38.3191,83
Hosta minor,0.156674,37.8046,84
Hosta ventricosa,0.156577,37.805,82
Humulus lupulus,0.153751,36.7946,83
Hunga gerontogea,0.162339,36.3277,83
Huperzia lucidula,0.154373,36.2466,87
Huperzia serrata,0.154176,36.2754,87
Hydrangea hydrangeoides,0.157692,37.8275,88
Hydrangea luteovenosa,0.157494,37.8795,88
Hydrangea petiolaris,0.157434,37.8152,88
Hydrangea serrata,0.15773,37.8818,86
Hydrocotyle sibthorpioides,0.15288,37.5137,85
Hydrocotyle verticillata,0.153207,37.5942,85
Hydrodictyon reticulatum,0.225641,32.1462,133
Hymenasplenium unilaterale,0.151723,41.9567,87
Hyparrhenia diplandra,0.139175,38.5364,83
Hyparrhenia rufa,0.139269,38.5025,83
Hyparrhenia subplumosa,0.139174,38.5086,83
Hypodematium crenatum,0.149794,41.0924,88
Hypolytrum nemorum,0.180648,34.9182,89
Hypseocharis bilobata,0.165002,38.888,85
Idesia polycarpa,0.157017,36.7075,86
Ignatius tetrasporus,0.239387,36.9957,89
Illicium oligandrum,0.148553,39.0473,83
Imperata cylindrica,0.140831,38.4532,83
Indocalamus wilsonii,0.139962,38.7962,83
Indosasa sinica,0.13966,38.8988,82
Inga leiocalycina,0.175489,35.5031,92
Interfilum terricola,0.187843,32.6853,81
Iochroma australe,0.156996,37.6659,85
Iochroma cardenasianum,0.15651,37.896,84
Iochroma cyaneum,0.156791,37.6865,82
Iochroma ellipticum,0.157052,37.6913,84
Iochroma lehmannii,0.156835,37.6536,82
Iochroma loxense,0.157002,37.6715,83
Iochroma nitidum,0.156574,37.6978,84
Iochroma salpoanum,0.156971,37.6713,84
Iochroma stenanthum,0.156858,37.6455,83
Iochroma tingoanum,0.156823,37.673,84
Iochroma umbellatum,0.15673,37.6782,84
Ionopsidium acaule,0.154,36.2734,83
Ipomoea batatas,0.161303,37.5858,93
Ipomoea nil,0.161897,37.4652,87
Ipomoea purpurea,0.162046,37.4826,85
Iris sanguinea,0.152408,38.0452,87
Isachne albens,0.135867,38.3242,83
Isatis tinctoria,0.15667,36.5124,87
Ischaemum afrum,0.141097,38.3623,83
Iseilema macratherum,0.139643,38.4688,83
Isoetes flaccida,0.145303,37.9435,84
Jacobaea vulgaris,0.150689,37.3199,87
Jasminum nudiflorum,0.165121,37.9837,85
Jatropha curcas,0.163856,35.3579,84
Jenufa minuta,0.20668,31.8096,89
Jenufa perforata,0.19804,25.2909,88
Joinvillea ascendens,0.149327,38.105,78
Juglans cathayensis,0.15973,36.1397,86
Juglans cinerea,0.160288,36.1343,84
Juglans hindsii,0.160406,36.1015,83
Juglans hopeiensis,0.159714,36.1427,86
Juglans major,0.160276,36.1202,83
Juglans mandshurica,0.159729,36.1387,86
Juglans nigra,0.160274,36.135,83
Juglans regia,0.160537,36.1101,85
Juglans sigillata,0.16035,36.1154,87
Juniperus bermudiana,0.127659,34.8522,82
Juniperus cedrus,0.127126,34.9661,82
Juniperus communis,0.128334,34.8551,80
Juniperus monosperma,0.127744,34.8752,82
Juniperus scopulorum,0.127774,34.8185,82
Juniperus virginiana,0.12777,34.8337,82
Kalopanax septemlobus,0.156413,37.9489,87
Kerriochloa siamensis,0.138335,38.3027,82
Keteleeria davidiana,0.11772,38.5508,75
Kingdonia uniflora,0.147378,37.8367,78
Kirchneriella aperta SAG 2004,0.207516,34.1207,69
Klebsormidium flaccidum,0.176832,42.0331,107
Klebsormidium nitens NIES-2285,0.181482,42.1496,116
Koliella corcontica,0.117543,27.9949,88
Koliella longiseta,0.197094,31.4246,80
Kolkwitzia amabilis,0.156875,38.4478,81
Kostermanthus robustus,0.159381,36.3324,81
Kryptoperidinium foliaceum CCMP1326,0.140426,32.3986,139
Kuetzingia canaliculata,0.178949,28.1203,218
Lactuca sativa,0.152765,37.5492,84
Laennecia sophiifolia,0.151899,37.3452,85
Laestadia muscicola,0.152366,37.2426,85
Lagenophora cuchumatanica,0.152462,37.2486,85
Lagerstroemia fauriei,0.15244,37.6056,85
Lagerstroemia floribunda,0.15224,37.7161,85
Lagerstroemia guilinensis,0.152193,37.6246,85
Lagerstroemia indica,0.152205,37.5914,86
Lagerstroemia intermedia,0.15233,37.5934,85
Lagerstroemia speciosa,0.152476,37.581,85
Lagerstroemia subcostata,0.152049,37.5872,84
Lambia antarctica,0.104098,29.55,81
Larix decidua,0.122474,38.7764,72
Larrea tridentata,0.136194,35.0926,81
Lasiacis nigra,0.140431,38.6368,82
Lathraea squamaria,0.150504,38.1299,50
Lathyrus clymenum,0.121263,34.9488,75
Lathyrus davidii,0.123895,34.8876,74
Lathyrus graminifolius,0.122438,34.9589,75
Lathyrus inconspicuus,0.123153,34.7446,74
Lathyrus japonicus,0.124242,34.902,75
Lathyrus littoralis,0.123734,34.815,74
Lathyrus ochroleucus,0.123911,34.9186,75
Lathyrus odoratus,0.120289,35.1595,73
Lathyrus palustris,0.124287,34.8524,75
Lathyrus pubescens,0.126421,35.0061,74
Lathyrus sativus,0.12102,35.1124,74
Lathyrus tingitanus,0.122165,34.8741,74
Lathyrus venosus,0.125459,34.8759,75
Laurenciella marilzae,0.172014,29.7476,204
Lavandula angustifolia,0.153448,38.0389,88
Lecomtella madagascariensis,0.139073,38.6171,84
Ledebouriella seseloides,0.14783,37.5262,85
Leersia japonica,0.134074,38.9151,87
Leitneria floridana,0.158763,37.6335,87
Lemna minor,0.165955,35.7169,85
Lens culinaris,0.122967,34.4255,73
Leontopodium leiolepis,0.151072,37.3213,85
Lepidium meyenii,0.154403,36.3523,87
Lepidium virginicum JO26,0.154743,36.4701,85
Lepidodinium chlorophorum,0.066223,34.6103,62
Lepidozamia peroffskyana,0.165939,39.9026,87
Lepisorus clathratus,0.156998,41.8056,88
Leptaspis banksii,0.14181,38.565,75
Leptaspis zeylanica,0.141946,38.4836,75
Leptocylindrus danicus ccmp1856,0.125213,31.9695,132
Leucaena trichandra,0.164692,35.6095,84
Licania alba,0.162467,36.2726,83
Licania canescens,0.164238,36.2066,83
Licania glabriflora,0.162769,36.1777,83
Licania heteromorpha,0.162833,36.2015,83
Licania macrophylla,0.162672,36.206,83
Licania majuscula,0.162445,36.2363,83
Licania membranacea,0.162201,36.3019,83
Licania michauxii,0.162552,36.2204,83
Licania micrantha,0.162313,36.2885,83
Licania minutiflora,0.162318,36.2591,83
Licania ovalifolia,0.162227,36.2843,83
Licania sprucei,0.162228,36.2804,83
Licania tomentosa,0.162547,36.2523,83
Ligusticum tenuissimum,0.1585,37.6088,88
Lilium amabile,0.152567,37.025,83
Lilium bakerianum,0.151655,37.0591,84
Lilium brownii,0.152677,37.0075,84
Lilium callosum,0.152626,37.0147,83
Lilium cernuum,0.152604,37.0148,84
Lilium distichum,0.152598,37.0634,85
Lilium duchartrei,0.152287,37.0347,83
Lilium fargesii,0.153235,36.9113,85
Lilium hansonii,0.152655,37.0024,83
Lilium henryi,0.153119,36.9719,83
Lilium lancifolium,0.152574,37.0253,85
Lilium leucanthum,0.152935,36.9915,85
Lilium philadelphicum,0.152175,37.0705,83
Lilium sp. KHK-2014,0.152715,36.9957,83
Lilium superbum,0.152069,37.0384,83
Lilium taliense,0.153055,36.9455,83
Lilium tsingtauense,0.15271,36.9969,84
Limnopoa meeboldii,0.134724,38.3258,83
Lindenbergia philippensis,0.155103,37.7942,85
Lindera glauca,0.15278,39.1733,81
Linum usitatissimum,0.156721,37.471,83
Liquidambar formosana,0.16041,37.949,86
Liriodendron chinense,0.159429,39.1566,86
Liriodendron tulipifera,0.159886,39.1573,84
Listera fugongensis,0.156536,37.4438,86
Litchi chinensis,0.162524,37.7993,87
Lithodesmium undulatum ccmp1797,0.12266,31.1919,138
Llerasia caucana,0.152015,37.491,85
Lobosphaera incisa,0.156031,27.7874,78
Lobularia libyca,0.152542,36.4929,86
Lobularia maritima,0.152659,36.5121,84
Lolium perenne,0.135282,38.2475,84
Lonicera japonica,0.155078,38.5838,81
Lophocladia kuetzingii,0.175085,26.9104,221
Lotus japonicus Accession MG-20,0.150519,36.0307,82
Loudetia simplex,0.1386,38.8066,82
Loudetiopsis kerstingii,0.138377,38.7138,83
Ludisia discolor,0.153054,36.9693,86
Ludwigia octovalvis,0.159396,37.3673,82
Lupinus luteus,0.151894,36.613,83
Luzuriaga radicans,0.157885,38.0682,84
Lychnis wilfordii,0.15232,36.6111,83
Lygodium japonicum,0.15726,40.6422,90
Lysionotus pauciflorus,0.153856,37.5032,88
Maackia floribunda,0.154541,36.4699,82
Macadamia integrifolia,0.159714,38.1156,88
Machilus balansae,0.152721,39.1505,80
Machilus pauhoi,0.152741,39.1591,84
Machilus thunbergii,0.152741,39.1519,84
Machilus yunnanensis,0.152622,39.1628,81
Macrothelypteris torresiana,0.15113,43.0808,88
Macrozamia mountperriensis,0.166341,39.7575,87
Magnistipula butayei,0.16261,36.1362,83
Magnolia cathcartii,0.15995,39.221,86
Magnolia denudata,0.160053,39.2526,84
Magnolia grandiflora,0.159623,39.3045,84
Magnolia insignis,0.160117,39.2394,86
Magnolia kobus,0.159443,39.273,86
Magnolia kwangsiensis,0.159667,39.2636,84
Magnolia laevifolia,0.16012,39.2418,86
Magnolia liliifera,0.158177,39.1479,86
Magnolia macrophylla var. dealbata,0.160002,39.2489,86
Magnolia odora,0.16007,39.2591,86
Magnolia officinalis,0.160183,39.2164,82
Magnolia officinalis subsp. biloba,0.160105,39.2524,84
Magnolia pyramidata,0.160025,39.2001,86
Magnolia salicifolia,0.160093,39.2584,86
Magnolia sinica,0.160044,39.2636,86
Magnolia sprengeri,0.160033,39.245,86
Magnolia yunnanensis,0.160085,39.266,91
Maianthemum bicolor,0.157176,37.5999,86
Malus florentina,0.159672,36.5875,83
Malus prunifolia,0.160041,36.5606,84
Malus trilobata,0.160207,36.4978,82
Malus tschonoskii,0.160034,36.541,83
Manfreda virginica,0.157308,37.8055,86
Mangifera indica,0.15778,37.892,83
Manihot esculenta,0.161453,35.873,83
Mankyua chejuensis,0.146221,37.9713,87
Maranthes gabunensis,0.162659,36.1812,83
Maranthes glabra,0.162185,36.2142,83
Maranthes kerstingii,0.162391,36.2095,83
Marchantia polymorpha,0.121024,28.8083,89
Marsilea crenata,0.151628,42.2171,89
Marvania geminata,0.10847,38.206,79
Masdevallia coccinea,0.157423,36.8142,86
Masdevallia picturata,0.156045,36.8836,88
Matteuccia struthiopteris,0.151003,44.2607,88
Matthiola incana,0.153896,36.0809,83
Mauritia flexuosa,0.156367,37.4523,86
Medicago falcata 1210,0.12443,33.9572,71
Medicago hybrida,0.125208,33.8173,75
Medicago papillosa,0.125203,33.8307,75
Medicago truncatula Variety Jema Long A-17,0.124033,33.9724,76
Megacarpaea delavayi,0.154401,36.2005,85
Megadenia pygmaea,0.153569,36.3348,87
Megaleranthis saniculifolia,0.159924,38.0499,85
Megathyrsus maximus,0.138994,38.5693,83
Melanothamnus harveyi,0.164979,29.788,207
Melastoma candidum,0.156682,37.1657,85
Meliosma aff. cuneifolia Moore 333,0.160357,38.3912,85
Membranoptera weeksiae,0.17607,26.1782,198
Mentha longifolia,0.152041,37.8332,87
Merianthera pulchra,0.156168,36.9672,85
Merrillia caloxylon,0.159969,38.4631,85
Merxmuellera tsaratananensis,0.136522,38.5425,82
Mesembryanthemum crystallinum,0.153831,37.027,90
Mesostigma viride,0.11836,30.1504,105
Mesotaenium endlicherianum,0.142017,42.1619,87
Metanarthecium luteoviride,0.153777,37.3769,84
Metapanax delavayi,0.156343,37.9333,87
Metasequoia glyptostroboides,0.131887,35.2537,82
Miconia dodecandra,0.157216,37.0261,85
Micromelum minutum,0.160416,38.5385,86
Micromonas commoda RCC299,0.072585,38.8455,57
Microthamnion kuetzingianum,0.158609,34.749,75
Mikania micrantha,0.152092,37.5799,86
Milla biflora,0.156684,37.6126,85
Millettia pinnata,0.152968,34.8262,83
Miscanthus floridulus,0.141356,38.3875,106
Miscanthus junceus,0.141149,38.4225,106
Miscanthus sacchariflorus,0.141332,38.3841,122
Miscanthus sinensis,0.141372,38.3895,122
Miscanthus transmorrisonensis,0.141266,38.3935,106
Miscanthus x giganteus,0.141345,38.399,106
Mnesithea helferi,0.140801,38.3591,83
Monomastix sp. OKE-1,0.114528,38.9651,82
Monomorphina aenigmatica UTEX1284,0.074746,29.4103,62
Monomorphina parapyrum UTEX 2354,0.080147,27.9848,64
Monoraphidium neglectum SAG 48.87,0.135362,32.3754,4
Monotropa hypopitys,0.035336,34.3134,24
Monsonia emarginata,0.156877,40.1633,82
Monsonia marlothii,0.134416,39.3034,75
Morella rubra,0.159586,36.1498,83
Morettia canescens,0.154184,36.4422,86
Morus indica,0.158484,36.374,84
Morus mongolica,0.158459,36.2939,83
